id,name,description,itemized_description
2920,Courageous Response,"ATK & DEF +150%; plus an additional 
ATK & DEF +30% and great chance of evading 
enemy's attack (including Super Attack) for 5 turns 
from the character's entry turn and high chance of 
evading enemy's attack (including Super Attack) 
starting from the 6th turn from the character's entry turn; 
plus an additional ATK & DEF +50% starting from the turn 
in which the character evades the 3rd attack in battle; 
target enemy's ATK & DEF -25% for 3 turns after the 
character evades the 6th attack in battle (once only)","*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
*For 5 turn(s) from the character's entry turn*
- ATK & DEF 30%{passiveImg:up_g}
- Great chance of evading enemy's attack
*Starting from the 6th turn from the character's entry turn*
- High chance of evading enemy's attack
*After evading 3 attack(s) in battle*
- {passiveImg:forever}ATK & DEF 50%{passiveImg:up_g}
*After evading 6 attack(s) in battle*
- {passiveImg:once}Target enemy's ATK & DEF 25%{passiveImg:down_y} for 3 turn(s)"
2921,Senzu Bean from Gohan,"Recovers 30% HP (once only); 
ATK & DEF +150%; high chance of 
guarding all attacks when HP is 77% or more; 
plus an additional ATK & DEF +30% for 3 turns 
after receiving an attack; launches an additional attack 
that has a medium chance of becoming a Super Attack 
when there is a ""Terrifying Conquerors"" Category enemy","*Basic effect(s)*
- {passiveImg:once}Recovers 30% HP
- ATK & DEF 150%{passiveImg:up_g}
*When HP is 77% or more*
- High chance of guarding all attacks
*After receiving an attack*
- ATK & DEF 30%{passiveImg:up_g} for 3 turn(s)
*When there is a ""Terrifying Conquerors"" Category enemy*
- Launches an additional attack that has a medium chance of
becoming a Super Attack"
2922,Senzu Bean from Gohan,"Recovers 50% HP (once only); ATK & DEF +180%; 
guards all attacks when HP is 77% or more; 
stuns the attacked enemy for 1 turn (once only) 
plus an additional ATK & DEF +59% for 5 turns 
after receiving an attack; launches an additional attack 
that has a medium chance of becoming a Super Attack 
when there is a ""Terrifying Conquerors"" Category enemy","*Basic effect(s)*
- {passiveImg:once}Recovers 50% HP
- ATK & DEF 180%{passiveImg:up_g}
*When HP is 77% or more*
- Guards all attacks
*After receiving an attack*
- ATK & DEF 59%{passiveImg:up_g} for 5 turn(s)
- {passiveImg:once}Stuns the attacked enemy for 1 turn
*When there is a ""Terrifying Conquerors"" Category enemy*
- Launches an additional attack that has a medium chance of
becoming a Super Attack"
2923,Secret of Birth,"ATK & DEF +100%; raises Ki by up to 10 and 
ATK & DEF by up to 100% (the more HP 
remaining, the greater the stat boost); 
all allies' Ki +2 and ATK & DEF +20%; 
fuses with Mr. Buu when conditions are met","*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- All allies' Ki +2 and ATK & DEF 20%{passiveImg:up_g}
*The more HP remaining*
- Ki{passiveImg:up_g} (up to +10)
- ATK & DEF{passiveImg:up_g} (up to 100%)
*When HP is 50% or less*
- Fuses with Mr. Buu"
2924,Buu and Uub,"Recovers 40% HP (once only); ATK & DEF +120% 
at start of turn; plus an additional ATK & DEF +120% when 
the character is the only ""Majin Power"" Category character 
attacking in the turn; all allies' Ki +2 and ATK & DEF +40% 
when there is another ""Majin Power"" Category ally 
attacking in the same turn; randomly changes Ki Spheres of 
a certain Type to Rainbow Ki Spheres; plus an additional 
Ki +2 per Rainbow Ki Sphere obtained; plus an additional 
ATK & DEF +20% per Rainbow Ki Sphere obtained","*Basic effect(s)*
- {passiveImg:once}Recovers 40% HP
- ATK & DEF 120%{passiveImg:up_g}
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
- Receives an additional Ki +2 per Rainbow Ki Sphere obtained
*For every Rainbow Ki Sphere obtained*
- ATK & DEF 20%{passiveImg:up_g}
*When the character is the only ""Majin Power"" Category
character attacking in the turn*
- ATK & DEF 120%{passiveImg:up_g}
*When there is another ""Majin Power"" Category ally
attacking in the same turn*
- All allies' Ki +2 and ATK & DEF 40%{passiveImg:up_g}"
2925,Exhilarating Battle,"ATK & DEF +59%; plus an additional 
ATK +10% per Ki Sphere obtained; 
plus an additional ATK & DEF +59% 
when performing a Super Attack 
for 7 turns from the character's entry turn","*Basic effect(s)*
- ATK & DEF 59%{passiveImg:up_g}
*For every Ki Sphere obtained*
- ATK 10%{passiveImg:up_g}
*For 7 turn(s) from the character's entry turn*
- ATK & DEF 59%{passiveImg:up_g} when attacking with 12 or more Ki"
2926,Fists of Steel,"ATK & DEF +40%; plus an additional 
ATK & DEF +40% when performing 
a Super Attack; Ki +2 plus an additional 
ATK +40% when facing only 1 enemy","*Basic effect(s)*
- ATK & DEF 40%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 40%{passiveImg:up_g}
*When facing only 1 enemy*
- Ki +2
- ATK 40%{passiveImg:up_g}"
2927,It's My Time to Shine!,"ATK & DEF +120%; plus an additional ATK +30% 
when attacking; reduces damage received by 30% 
before attacking and Ki +2 plus an additional 
ATK +30% as the 1st attacker in a turn; 
plus an additional ATK & DEF +10% 
with each attack performed (up to 50%)","*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
*When attacking*
- ATK 30%{passiveImg:up_g}
*As the 1st attacker in a turn*
- Ki +2
- ATK 30%{passiveImg:up_g}
- Damage reduction rate 30%{passiveImg:up_g} before attacking
*For every attack performed*
- {passiveImg:forever}ATK & DEF 10%{passiveImg:up_g} (up to 50%)"
2928,We Are Super Strong!,"ATK & DEF +150%; plus an additional ATK & DEF +50% 
when attacking; reduces damage received by 50% 
before attacking and Ki +2 plus an additional ATK +50% 
as the 1st attacker in a turn; plus an additional 
ATK & DEF +20% with each attack performed (up to 100%); 
launches an additional attack that has a high chance of 
becoming a Super Attack when there is a ""GT Heroes"" 
Category ally whose name includes ""Goku"" (Jr. excluded), 
""Trunks"" or ""Giru"" attacking in the same turn","*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
*When attacking*
- ATK & DEF 50%{passiveImg:up_g}
*As the 1st attacker in a turn*
- Ki +2
- ATK 50%{passiveImg:up_g}
- Damage reduction rate 50%{passiveImg:up_g} before attacking
*For every attack performed*
- {passiveImg:forever}ATK & DEF 20%{passiveImg:up_g} (up to 100%)
*When there is a ""GT Heroes"" Category ally whose name
includes ""Goku"" (Jr. excluded), ""Trunks"" or ""Giru"" attacking
in the same turn*
- Launches an additional attack that has a high chance of
becoming a Super Attack"
2929,Trusty Travel Companion,"Changes AGL & TEQ Ki Spheres to 
INT Ki Spheres; ATK & DEF +100%; 
plus an additional ATK & DEF +100% 
with 3 or more Ki Spheres obtained; 
plus an additional ATK & DEF +100% 
with 5 or more Ki Spheres obtained","*Basic effect(s)*
- Changes Ki Spheres: AGL & TEQ to INT
- ATK & DEF 100%{passiveImg:up_g}
*3 or more Ki Spheres obtained*
- ATK & DEF 100%{passiveImg:up_g}
*5 or more Ki Spheres obtained*
- ATK & DEF 100%{passiveImg:up_g}"
2930,Travel Wisdom,"Changes AGL & TEQ Ki Spheres to INT Ki Spheres; 
ATK & DEF +120%; ""Bond of Friendship"", ""GT Heroes"" 
and ""Dragon Ball Seekers"" Category allies' Ki +1 and 
ATK & DEF +20%; plus an additional ATK & DEF +120% 
with 3 or more Ki Spheres obtained; plus an additional 
ATK & DEF +120% and all enemies' ATK -20% with 
5 or more Ki Spheres obtained; all allies' Ki +2 and 
ATK, DEF & chance of performing a critical hit +10% 
with 7 or more Ki Spheres obtained","*Basic effect(s)*
- Changes Ki Spheres: AGL & TEQ to INT
- ATK & DEF 120%{passiveImg:up_g}
- ""Bond of Friendship"", ""GT Heroes"" or ""Dragon Ball Seekers""
Category allies' Ki +1 and ATK & DEF 20%{passiveImg:up_g}
*3 or more Ki Spheres obtained*
- ATK & DEF 120%{passiveImg:up_g}
*5 or more Ki Spheres obtained*
- ATK & DEF 120%{passiveImg:up_g}
- All enemies' ATK 20%{passiveImg:down_y}
*7 or more Ki Spheres obtained*
- All allies' Ki +2 and ATK, DEF & chance of performing a
critical hit 10%{passiveImg:up_g}"
2931,Rising Rage,"Ki +4 and ATK & DEF +120%; plus an additional 
DEF +40% when performing a Super Attack and 
attacks effective against all Types if it is 
an Ultra Super Attack; plus an additional 
Ki +2 and ATK +40% when HP is 80% or less; 
plus an additional Ki +2 and ATK +40% when 
HP is 60% or less; performs a critical hit when 
HP is 40% or less; disables the attacked enemy's 
action once within the turn if HP is 40% or less 
when attacking (once only)","*Basic effect(s)*
- Ki +4
- ATK & DEF 120%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- DEF 40%{passiveImg:up_g}
*When attacking with 18 or more Ki*
- Attacks are effective against all Types
*When HP is 80% or less*
- Ki +2
- ATK 40%{passiveImg:up_g}
*When HP is 60% or less*
- Ki +2
- ATK 40%{passiveImg:up_g}
*When HP is 40% or less*
- Performs a critical hit
*If HP is 40% or less when attacking*
- {passiveImg:once}Interrupts the attacked enemy"
2932,"Love, Courage and Pride","DEF +77%; ATK & DEF +77% when 
performing a Super Attack, plus an additional 
ATK +77% if it is an Ultra Super Attack; 
Ki +1 and ATK +7% per ""Dragon Ball Seekers"" 
or ""GT Heroes"" Category ally on the team 
(depending on which Category has more members); 
plus an additional Ki +3 and high chance of performing 
a critical hit when all allies attacking in the same turn are 
""Dragon Ball Seekers"" or ""GT Heroes"" Category characters","*Basic effect(s)*
- DEF 77%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 77%{passiveImg:up_g}
*When attacking with 18 or more Ki*
- ATK 77%{passiveImg:up_g}
*Per ""Dragon Ball Seekers"" or ""GT Heroes"" Category ally on
the team (depending on which Category has more members)*
- Ki +1
- ATK 7%{passiveImg:up_g}
*When all allies attacking in the same turn are ""Dragon Ball
Seekers"" or ""GT Heroes"" Category characters*
- Ki +3
- High chance of performing a critical hit"
2933,Exhilarating Battle,"ATK & DEF +59%; plus an additional 
ATK & DEF +10% per Ki Sphere obtained; 
plus an additional ATK +59% with 3 or more 
Ki Spheres obtained; plus an additional 
ATK & DEF +59% when performing a Super Attack 
for 7 turns from the character's entry turn","*Basic effect(s)*
- ATK & DEF 59%{passiveImg:up_g}
*For every Ki Sphere obtained*
- ATK & DEF 10%{passiveImg:up_g}
*3 or more Ki Spheres obtained*
- ATK 59%{passiveImg:up_g}
*For 7 turn(s) from the character's entry turn*
- ATK & DEF 59%{passiveImg:up_g} when attacking with 12 or more Ki"
2934,Exhilarating Battle,"ATK & DEF +59%; plus an additional 
ATK & DEF +14% per Ki Sphere obtained; 
plus an additional ATK & DEF +59% with 3 or more 
Ki Spheres obtained; high chance of performing a critical hit 
with 5 or more Ki Spheres obtained; plus an additional 
ATK & DEF +59% when performing a Super Attack for 
7 turns from the character's entry turn; randomly changes 
Ki Spheres of a certain Type to Rainbow Ki Spheres 
when there is a ""GT Bosses"" Category enemy","*Basic effect(s)*
- ATK & DEF 59%{passiveImg:up_g}
*For every Ki Sphere obtained*
- ATK & DEF 14%{passiveImg:up_g}
*3 or more Ki Spheres obtained*
- ATK & DEF 59%{passiveImg:up_g}
*5 or more Ki Spheres obtained*
- High chance of performing a critical hit
*For 7 turn(s) from the character's entry turn*
- ATK & DEF 59%{passiveImg:up_g} when attacking with 12 or more Ki
*When there is a ""GT Bosses"" Category enemy*
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres"
2935,Fists of Steel,"ATK & DEF +40%; plus an additional 
ATK & DEF +10% per ""GT Bosses"" 
Category ally on the team (up to 40%); 
plus an additional ATK & DEF +40% 
when performing a Super Attack; 
Ki +2 plus an additional ATK +40% 
when facing only 1 enemy","*Basic effect(s)*
- ATK & DEF 40%{passiveImg:up_g}
*Per ""GT Bosses"" Category ally on the team*
- ATK & DEF 10%{passiveImg:up_g} (up to 40%)
*When attacking with 12 or more Ki*
- ATK & DEF 40%{passiveImg:up_g}
*When facing only 1 enemy*
- Ki +2
- ATK 40%{passiveImg:up_g}"
2936,Fists of Steel,"ATK & DEF +80%; plus an additional 
ATK & DEF +20% per ""GT Bosses"" 
Category ally on the team (up to 80%); 
plus an additional ATK & DEF +80% 
when performing a Super Attack; Ki +2 plus 
an additional ATK +40% when facing only 1 enemy; 
""GT Bosses"" Category allies' Ki +2 and ATK +40%","*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
- ""GT Bosses"" Category allies' Ki +2 and ATK 40%{passiveImg:up_g}
*Per ""GT Bosses"" Category ally on the team*
- ATK & DEF 20%{passiveImg:up_g} (up to 80%)
*When attacking with 12 or more Ki*
- ATK & DEF 80%{passiveImg:up_g}
*When facing only 1 enemy*
- Ki +2
- ATK 40%{passiveImg:up_g}"
2937,Godly Fusion Power,"ATK & DEF +100%; plus an additional ATK & DEF +10% 
with each Super Attack performed (up to 50%); 
raises Ki by up to 10 (the less HP remaining, 
the greater the Ki boost); medium chance of Ki +5; 
launches an additional attack that has a high chance of 
becoming a Super Attack when performing 
an Ultra Super Attack; plus an additional Ki +2 and 
disables enemy's guard when there is another 
""Future Saga"" Category ally attacking in the same turn","*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- Medium chance of Ki +5
*For every Super Attack performed*
- {passiveImg:forever}ATK & DEF 10%{passiveImg:up_g} (up to 50%)
*The less HP remaining*
- Ki{passiveImg:up_g} (up to +10)
*When attacking with 18 or more Ki*
- Launches an additional attack that has a high chance of
becoming a Super Attack
*When there is another ""Future Saga"" Category ally attacking
in the same turn*
- Ki +2
- Disables the enemy's guard when attacking"
2938,Declaration of Omnipotence,"Ki +2 and ATK & DEF +150%; launches an 
additional attack that has a medium chance of 
becoming a Super Attack; great chance of 
performing a critical hit when the target enemy 
is stunned; plus an additional ATK & DEF +20% 
with each Super Attack performed (up to 50%); 
stuns the attacked enemy (once only) when 
there is an enemy whose name includes ""Goku"" 
(Youth, Captain Ginyu, Jr., etc. excluded)","*Basic effect(s)*
- Ki +2
- ATK & DEF 150%{passiveImg:up_g}
- Launches an additional attack that has a medium chance of
becoming a Super Attack
*When the target enemy is in the following status: {passiveImg:stun}*
- Great chance of performing a critical hit
*For every Super Attack performed*
- {passiveImg:forever}ATK & DEF 20%{passiveImg:up_g} (up to 50%)
*When there is an enemy whose name includes ""Goku""
(Youth, Captain Ginyu, Jr., etc. excluded)*
- {passiveImg:once}Stuns the attacked enemy"
2939,Tense Atmosphere,"Ki +3 for 5 turns from the character's entry turn; 
ATK & DEF +50000; plus an additional 
ATK & DEF +10000 with each attack 
performed (up to 50000); launches 
an additional attack when HP is 50% or more","*Basic effect(s)*
- ATK & DEF 50000{passiveImg:up_g}
*For 5 turn(s) from the character's entry turn*
- Ki +3
*For every attack performed*
- {passiveImg:forever}ATK & DEF 10000{passiveImg:up_g} (up to 50000)
*When HP is 50% or more*
- Launches an additional attack"
2940,Tense and Focused Mind,"Ki +3 for 7 turns from the character's entry turn; 
ATK & DEF +70000; plus an additional 
ATK & DEF +10000 with each attack 
performed (up to 70000); launches 
an additional attack when HP is 50% or more","*Basic effect(s)*
- ATK & DEF 70000{passiveImg:up_g}
*For 7 turn(s) from the character's entry turn*
- Ki +3
*For every attack performed*
- {passiveImg:forever}ATK & DEF 10000{passiveImg:up_g} (up to 70000)
*When HP is 50% or more*
- Launches an additional attack"
2941,Fight of Sheer Mettle,"Ki +3 for 10 turns from the character's entry turn; Ki +3 
for 10 turns when there is an Extreme Class enemy (once only); 
ATK & DEF +103000; plus an additional ATK & DEF +10300 
with each attack performed (up to 103000); launches 
an additional Super Attack when HP is 80% or more; 
launches an additional attack when HP is 50% or more; 
medium chance of performing a critical hit when performing 
an Ultra Super Attack (great chance of performing 
a critical hit if HP is 50% or less when performing 
an Ultra Super Attack); Ki +10 when HP is 30% or less","*Basic effect(s)*
- ATK & DEF 103000{passiveImg:up_g}
*For 10 turn(s) from the character's entry turn*
- Ki +3
*When there is an Extreme Class enemy*
- {passiveImg:once}Ki +3 for 10 turn(s)
*For every attack performed*
- {passiveImg:forever}ATK & DEF 10300{passiveImg:up_g} (up to 103000)
*When HP is 80% or more*
- Launches an additional Super Attack
*When HP is 50% or more*
- Launches an additional attack
*When attacking with 18 or more Ki*
- Medium chance of performing a critical hit
- Great chance of performing a critical hit when HP is 50% or
less
*When HP is 30% or less*
- Ki +10"
2942,Endless Terror,"Activates the Entrance Animation (once only) and launches 
an additional attack that has a medium chance of becoming 
a Super Attack for 3 turns from the character's entry turn 
when there is another ""Terrifying Conquerors"" Category 
ally on the team upon the character's entry; Ki +5 and 
ATK & DEF +100%; plus an additional Ki +1 (up to +5) and 
ATK & DEF +10% (up to 100%) with each attack 
performed; launches 2 additional attacks, each of which 
has a medium chance of becoming a Super Attack; 
launches an additional Super Attack starting from the turn 
in which the character performs the 10th attack in battle","*Activates the Entrance Animation when there is another
""Terrifying Conquerors"" Category ally on the team upon the
character's entry*
- {passiveImg:once}Launches an additional attack that has a medium
chance of becoming a Super Attack for 3 turn(s)
*Basic effect(s)*
- Ki +5
- ATK & DEF 100%{passiveImg:up_g}
- Launches 2 additional attacks, each of which has a medium
chance of becoming a Super Attack
*For every attack performed*
- {passiveImg:forever}Ki +1 (up to +5)
- {passiveImg:forever}ATK & DEF 10%{passiveImg:up_g} (up to 100%)
*After performing 10 attack(s) in battle*
- {passiveImg:forever}Launches an additional Super Attack"
2943,When True Anger Awakens,"Ki +5 and ATK & DEF +159%; 
attacks effective against all Types plus 
an additional DEF +59% within the same turn 
after receiving an attack; plus an additional 
Ki +1 (up to +5) and ATK +10% (up to 59%) 
with each attack received; guards all attacks 
when HP is 60% or more; if HP is 59% or less 
at start of character's attacking turn, revives with 
59% HP recovered when the character or an ally 
attacking in the same turn is KO'd (once only); 
guards all attacks and high chance of performing 
a critical hit starting from the turn in which 
the character's Revival Skill is activated","*Basic effect(s)*
- Ki +5
- ATK & DEF 159%{passiveImg:up_g}
*After receiving an attack*
- Attacks are effective against all Types
- DEF 59%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}Ki +1 (up to +5)
- {passiveImg:forever}ATK 10%{passiveImg:up_g} (up to 59%)
*When HP is 60% or more*
- Guards all attacks
*When the character or an ally attacking in the same turn is
KO'd if HP is 59% or less*
- {passiveImg:once}Revives with 59% HP recovered
*After the character's Revival Skill is activated*
- {passiveImg:forever}Guards all attacks
- {passiveImg:forever}High chance of performing a critical hit"
2944,Fasha's Idea,"ATK & DEF +100%; guards all attacks 
for 4 turns from the character's entry turn; 
plus an additional ATK & DEF +20% 
with each attack received (up to 100%); 
plus an additional ATK & DEF +20% whenever 
guard is activated (up to 100%) when there are 
3 or more ""Low-Class Warrior"" Category allies 
(self excluded) or 3 or more ""Peppy Gals"" 
Category allies (self excluded) on the team","*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
*For 4 turn(s) from the character's entry turn*
- Guards all attacks
*For every attack received*
- {passiveImg:forever}ATK & DEF 20%{passiveImg:up_g} (up to 100%)
*When another 3 or more ""Low-Class Warrior"" Category allies
are on the team, or when another 3 or more ""Peppy Gals""
Category allies are on the team*
- ATK & DEF 20%{passiveImg:up_g} whenever guard is activated (up to 100%)"
2945,Fasha's Proposal,"ATK & DEF +150%; guards all attacks for 4 turns from 
the character's entry turn; launches an additional attack 
that has a high chance of becoming a Super Attack 
starting from the 5th turn from the start of battle; 
plus an additional ATK & DEF +30% with each attack 
received (up to 150%); plus an additional ATK & DEF +30% 
whenever guard is activated (up to 150%) when 
there are 3 or more ""Low-Class Warrior"" Category 
allies (self excluded) or 3 or more ""Peppy Gals"" 
Category allies (self excluded) on the team","*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
*For 4 turn(s) from the character's entry turn*
- Guards all attacks
*Starting from the 5th turn from the start of battle*
- Launches an additional attack that has a high chance of
becoming a Super Attack
*For every attack received*
- {passiveImg:forever}ATK & DEF 30%{passiveImg:up_g} (up to 150%)
*When another 3 or more ""Low-Class Warrior"" Category allies
are on the team, or when another 3 or more ""Peppy Gals""
Category allies are on the team*
- ATK & DEF 30%{passiveImg:up_g} whenever guard is activated (up to 150%)"
2946,Cheelai's Gift,"DEF +139%; randomly changes Ki Spheres 
of a certain Type to Rainbow Ki Spheres; 
high chance of evading enemy's attack 
(including Super Attack); plus an additional 
DEF +39% within the same turn with each 
attack evaded (including Super Attack)","*Basic effect(s)*
- DEF 139%{passiveImg:up_g}
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
- High chance of evading enemy's attack
*For every attack evaded*
- DEF 39%{passiveImg:up_g} within the turn"
2947,Cheelai's Consideration,"Ki +3 and DEF +139%; foresees enemy's Super Attack 
within the character's attacking turn; randomly changes 
Ki Spheres of a certain Type to Rainbow Ki Spheres; 
great chance of evading enemy's attack (including Super Attack); 
plus an additional DEF +39% within the same turn with 
each attack evaded (including Super Attack); recovers 39% HP 
at the end of turn every time the character evades 
3 attacks (including Super Attacks) in battle (up to 3 times); 
all allies' Ki +3 and ATK & DEF +39% (self excluded)","*Basic effect(s)*
- Ki +3
- DEF 139%{passiveImg:up_g}
- Foresees enemy's Super Attack
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
- Great chance of evading enemy's attack
- All allies' Ki +3 and ATK & DEF 39%{passiveImg:up_g} (self excluded)
*For every attack evaded*
- DEF 39%{passiveImg:up_g} within the turn
*Every time the character evades 3 attack(s) in battle*
- Recovers 39% HP at the end of turn (up to 3 time(s))"
2948,Pulsing Strength,"Ki +2 and ATK & DEF +150%; ATK & DEF +30% 
with each attack received (up to 59%); 
Transforms when conditions are met","*Basic effect(s)*
- Ki +2
- ATK & DEF 150%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}ATK & DEF 30%{passiveImg:up_g} (up to 59%)
*Starting from the 3rd turn from the start of battle*
- Transforms when HP is 77% or less"
2949,Transformed At Last!,"Ki +3 and ATK & DEF +180%; plus an 
additional DEF +59% when HP is 77% or less; 
plus an additional ATK +59% for the rest of battle 
after receiving an attack; medium chance of 
guarding all attacks; guard activated against 
all attacks and high chance of performing 
a critical hit for 4 turns when guard is activated","*Basic effect(s)*
- Ki +3
- ATK & DEF 180%{passiveImg:up_g}
- Medium chance of guarding all attacks
*When HP is 77% or less*
- DEF 59%{passiveImg:up_g}
*After receiving an attack*
- {passiveImg:forever}ATK 59%{passiveImg:up_g}
*After guard is activated*
- Guards all attacks and high chance of performing a critical
hit for 4 turn(s)"
2950,Exploding Rage!,"Changes AGL Ki Spheres to STR Ki Spheres and 
randomly changes Ki Spheres of a certain Type 
(AGL & STR excluded) to Rainbow Ki Spheres","*Basic effect(s)*
- Changes Ki Spheres: AGL to STR
- Randomly changes Ki Spheres of a certain Type (AGL & STR
excluded) to Rainbow Ki Spheres"
2951,Penetrating Terror,"ATK & DEF +60%; Ki +1 (up to +3) 
plus an additional ATK & DEF +10% 
(up to 60%) with each attack performed; 
launches 2 additional attacks, each of which 
has a rare chance of becoming a Super Attack","*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
- Launches 2 additional attacks, each of which has a rare
chance of becoming a Super Attack
*For every attack performed*
- {passiveImg:forever}Ki +1 (up to +3)
- {passiveImg:forever}ATK & DEF 10%{passiveImg:up_g} (up to 60%)"
2952,Absolute Terror,"ATK & DEF +80%; Ki +1 (up to +4) 
plus an additional ATK & DEF +10% 
(up to 80%) with each attack performed; 
launches 2 additional attacks, each of which 
has a medium chance of becoming a Super Attack","*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
- Launches 2 additional attacks, each of which has a medium
chance of becoming a Super Attack
*For every attack performed*
- {passiveImg:forever}Ki +1 (up to +4)
- {passiveImg:forever}ATK & DEF 10%{passiveImg:up_g} (up to 80%)"
2953,Strength Behind the Mask,"Ki +3 and ATK & DEF +60%; 
all allies' ATK & DEF +10% when there is 
another ""Goku's Family"" Category ally 
on the team; all allies' ATK & DEF +10% 
when there is an ally whose name includes 
""Goku (Youth)"" attacking in the same turn","*Basic effect(s)*
- Ki +3
- ATK & DEF 60%{passiveImg:up_g}
*When there is another ""Goku's Family"" Category ally on the
team*
- All allies' ATK & DEF 10%{passiveImg:up_g}
*When there is an ally whose name includes ""Goku (Youth)""
attacking in the same turn*
- All allies' ATK & DEF 10%{passiveImg:up_g}"
2954,Strength Behind the Mask,"Ki +3 and ATK & DEF +80%; plus an additional 
DEF +60% and all allies' ATK & DEF +15% when 
there is another ""Goku's Family"" Category ally 
on the team; plus an additional ATK +30% and 
all allies' ATK & DEF +15% when there is an ally 
whose name includes ""Goku (Youth)"" attacking 
in the same turn; high chance of attacks being 
effective against all Types when the target enemy 
is stunned or the target enemy's Super Attack is sealed","*Basic effect(s)*
- Ki +3
- ATK & DEF 80%{passiveImg:up_g}
*When there is another ""Goku's Family"" Category ally on the
team*
- DEF 60%{passiveImg:up_g}
- All allies' ATK & DEF 15%{passiveImg:up_g}
*When there is an ally whose name includes ""Goku (Youth)""
attacking in the same turn*
- ATK 30%{passiveImg:up_g}
- All allies' ATK & DEF 15%{passiveImg:up_g}
*When the target enemy is in the following status: {passiveImg:stun} or {passiveImg:astute}*
- High chance of attacks being effective against all Types"
2955,Strength Behind the Mask,"Ki +3, ATK +100% and DEF +150%; plus an additional 
DEF +100% and all allies' ATK & DEF +20% when 
there is another ""Goku's Family"" Category ally 
on the team; plus an additional ATK +50% and 
all allies' ATK & DEF +20% when there is an ally whose 
name includes ""Goku (Youth)"" attacking in the same turn; 
attacks effective against all Types when the target enemy 
is stunned or the target enemy's Super Attack is sealed; 
high chance of guarding all attacks when HP is 58% or less","*Basic effect(s)*
- Ki +3
- ATK 100%{passiveImg:up_g}
- DEF 150%{passiveImg:up_g}
*When there is another ""Goku's Family"" Category ally on the
team*
- DEF 100%{passiveImg:up_g}
- All allies' ATK & DEF 20%{passiveImg:up_g}
*When there is an ally whose name includes ""Goku (Youth)""
attacking in the same turn*
- ATK 50%{passiveImg:up_g}
- All allies' ATK & DEF 20%{passiveImg:up_g}
*When the target enemy is in the following status: {passiveImg:stun} or {passiveImg:astute}*
- Attacks are effective against all Types
*When HP is 58% or less*
- High chance of guarding all attacks"
2956,Furious Fighter,"ATK & DEF +130%; attacks effective against 
all Types plus an additional DEF +30% within the 
same turn after receiving an attack; Ki +1 (up to +3) 
plus an additional ATK +10% (up to 30%) 
with each attack received; medium chance of 
guarding all attacks when HP is 60% or more","*Basic effect(s)*
- ATK & DEF 130%{passiveImg:up_g}
*After receiving an attack*
- Attacks are effective against all Types and DEF 30%{passiveImg:up_g} within
the turn
*For every attack received*
- {passiveImg:forever}Ki +1 (up to +3)
- {passiveImg:forever}ATK 10%{passiveImg:up_g} (up to 30%)
*When HP is 60% or more*
- Medium chance of guarding all attacks"
2957,True Power of a Super Saiyan,"ATK & DEF +140%; attacks effective against 
all Types plus an additional DEF +40% within the 
same turn after receiving an attack; Ki +1 (up to +4) 
plus an additional ATK +10% (up to 40%) 
with each attack received; high chance of 
guarding all attacks when HP is 60% or more","*Basic effect(s)*
- ATK & DEF 140%{passiveImg:up_g}
*After receiving an attack*
- Attacks are effective against all Types and DEF 40%{passiveImg:up_g} within
the turn
*For every attack received*
- {passiveImg:forever}Ki +1 (up to +4)
- {passiveImg:forever}ATK 10%{passiveImg:up_g} (up to 40%)
*When HP is 60% or more*
- High chance of guarding all attacks"
