id,name,itemized_description
3930,Beauty and Magnificence of Love,"*Basic effect(s)*
- ATK & DEF 104%{passiveImg:up_g}
- Super Class allies' Ki +4 and ATK & DEF 40%{passiveImg:up_g}
- Recovers HP with sweet treats
- Recovers 10% HP at the end of turn
*When there is another ""Otherworld Warriors"" Category ally
attacking in the same turn*
- Recovers 4% HP at the end of turn
*Per Super Class ally on the team*
- ATK & DEF 10%{passiveImg:up_g}
- Chance of performing a critical hit & chance of evading
enemy's attack 4%{passiveImg:up_g}
*Per ""Otherworld Warriors"" Category ally attacking in the
same turn*
- Chance of performing a critical hit 10%{passiveImg:up_g}
- Chance of evading enemy's attack 4%{passiveImg:up_g}
*When the target enemy is in the following status: {passiveImg:atk_down} or {passiveImg:def_down}*
- ATK & DEF 104%{passiveImg:up_g}"
3931,Overheated Awakening,"*Basic effect(s)*
- Damage reduction rate 20%{passiveImg:up_g}
- Launches an additional attack that has a great chance of
becoming a Super Attack
*When attacking with 12 or more Ki*
- ATK & DEF 200%{passiveImg:up_g}
- ATK & DEF 80%{passiveImg:up_g} when HP is 50% or more
*Per ""Crossover"" Category ally on the team*
- Ki +1 (up to +5) and ATK 40%{passiveImg:up_g} (up to 200%)
- Damage reduction rate 8%{passiveImg:up_g} (up to 40%)
*When HP is 20% or less*
- Character's Super Attack will be sealed"
3932,Dr. W's Deed,"*For 5 turn(s) from the character's entry turn*
- Guards all attacks
*When facing 2 or more enemies*
- Launches an additional attack that has a great chance of
becoming a Super Attack
*Per ""Crossover"" Category ally on the team*
- ATK & DEF 40%{passiveImg:up_g} (up to 200%)
*For every attack performed*
- {passiveImg:forever}ATK 80%{passiveImg:up_g} (up to 240%)
*For every attack received*
- {passiveImg:forever}DEF 60%{passiveImg:up_g} (up to 180%)
*Starting from the character's next attacking turn after the
character performs 5 attack(s) or receives 5 attack(s) in
battle*
- {passiveImg:forever}Ki +2
- {passiveImg:forever}Great chance of performing a critical hit"
3933,Elite Warrior of the Nobility,"*Basic effect(s)*
- Ki +2 and ATK & DEF 178%{passiveImg:up_g}
*When HP is 78% or more*
- Ki +5
- Launches an additional attack that has a high chance of
becoming a Super Attack
*After evading an attack*
- ATK 78%{passiveImg:up_g}
*Per existing enemy*
- ATK & DEF 78%{passiveImg:up_g}
*For every final blow delivered*
- {passiveImg:forever}Ki +1 (up to +5)
*When HP is 50% or less starting from the 4th turn from the
start of battle*
- Exchanges with Vegeta"
3934,The Prince Cometh,"*Basic effect(s)*
- {passiveImg:once}Recovers 50% HP
- Ki +4 and ATK & DEF 200%{passiveImg:up_g}
*When HP is 50% or more*
- ATK & DEF 100%{passiveImg:up_g}
*For 3 turn(s) from the character's entry turn*
- Guards all attacks
*When facing only 1 enemy*
- Ki +3 and ATK & DEF 180%{passiveImg:up_g}
*When attacking a Super Class enemy*
- Ki +3 and ATK & DEF 180%{passiveImg:up_g}
*When attacking with 18 or more Ki*
- Ki +3 and attacks are effective against all Types
*When attacking with 24 Ki*
- Performs a critical hit"
3935,Hidden Dark Factor,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 80%{passiveImg:up_g}
*When another 3 or more Extreme Class allies are on the
team*
- All allies' ATK & DEF 20%{passiveImg:up_g}
*When all allies are ""Dragon Ball Heroes"" Category
characters*
- Changes Ki Spheres: AGL to STR"
3936,Extracted Dark Factor,"*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
*As the 2nd or 3rd attacker in a turn*
- Medium chance of evading enemy's attack
*When another 3 or more Extreme Class allies are on the
team*
- All allies' ATK & DEF 20%{passiveImg:up_g}
*When all allies are ""Dragon Ball Heroes"" Category
characters*
- Changes Ki Spheres: AGL to STR
- All allies' Ki +1 and ATK & DEF 10%{passiveImg:up_g}
- ATK & DEF 50%{passiveImg:up_g} when attacking with 12 or more Ki"
3937,Heightened Emotions,"*When there is an ally whose name includes ""Goku"" (Youth,
Captain Ginyu, Jr., etc. excluded) on the team*
- Ki +4 and ATK & DEF 59%{passiveImg:up_g}
- Ki +4 and ATK & DEF 59%{passiveImg:up_g} if that ally is attacking in the
same turn
*When attacking with 12 or more Ki*
- ATK & DEF 58%{passiveImg:up_g}
*When attacking with 18 or more Ki*
- ATK & DEF 58%{passiveImg:up_g}
- High chance of performing a critical hit
*When HP is 58% or less*
- Ki +12
- {passiveImg:once}ATK & DEF 58%{passiveImg:up_g}
- {passiveImg:once}Damage reduction rate 58%{passiveImg:up_g}
- {passiveImg:once}Performs a critical hit when attacking with 18 or more
Ki"
3938,Gohan and Demon King Piccolo,"*Basic effect(s)*
- Ki +2 and ATK & DEF 100%{passiveImg:up_g}
- ""Bond of Master and Disciple"" or ""Saiyan Saga"" Category
allies' Ki +1 and ATK & DEF 30%{passiveImg:up_g}
*The less HP remaining*
- ATK{passiveImg:up_g} (up to 100%)
*When attacking with 12 or more Ki*
- ATK & DEF 50%{passiveImg:up_g}
*If HP is 80% or more when receiving an attack as the 1st or
2nd attacker in a turn*
- Damage reduction rate 20%{passiveImg:up_g}"
3939,Piccolo and Gohan,"*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
- ""Bond of Master and Disciple"" or ""Saiyan Saga"" Category
allies' Ki +2 and ATK & DEF 30%{passiveImg:up_g}
*The less HP remaining*
- ATK{passiveImg:up_g} (up to 150%)
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
*If HP is 70% or more when receiving an attack as the 1st or
2nd attacker in a turn*
- Damage reduction rate 40%{passiveImg:up_g}
*As the 3rd attacker in a turn*
- Super Class allies' Ki +1 and ATK & DEF 30%{passiveImg:up_g} for 3 turn(s)
*When the character or an ally attacking in the same turn is
KO'd if HP is 70% or less, or KO'd starting from the 7th turn
from the start of battle*
- Revives with 70% HP recovered by exchanging with Gohan
(Kid)"
3940,Piccolo and Gohan,"*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
- ""Bond of Master and Disciple"" or ""Saiyan Saga"" Category
allies' Ki +2 and ATK & DEF 30%{passiveImg:up_g}
*The less HP remaining*
- ATK{passiveImg:up_g} (up to 150%)
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
*If HP is 70% or more when receiving an attack as the 1st or
2nd attacker in a turn*
- Damage reduction rate 40%{passiveImg:up_g}
*As the 3rd attacker in a turn*
- Super Class allies' Ki +1 and ATK & DEF 30%{passiveImg:up_g} for 3 turn(s)
*When the character or an ally attacking in the same turn is
KO'd if HP is 70% or less, or KO'd starting from the 7th turn
from the start of battle*
- Revives with 70% HP recovered by exchanging with Gohan
(Kid)"
3941,I Will Avenge Mr. Piccolo!,"*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
- Super Class allies' Ki +2
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
- ATK 100%{passiveImg:up_g} when HP is 58% or more
*For 1 turn from the character's entry turn*
- Ki +12
- ATK & DEF 300%{passiveImg:up_g} when attacking with 12 or more Ki
- Performs a critical hit
*Starting from the 3rd turn from the character's entry turn*
- Attacks are effective against all Types
*When there is a ""Pure Saiyans"" Category enemy*
- Great chance of performing a critical hit
*When there is an ally whose name includes ""Goku"" (Captain
Ginyu, Jr., etc. excluded) on the team*
- Evades enemy's attack for 1 turn from the character's entry
turn
- High chance of evading enemy's attack starting from the 3rd
turn from the character's entry turn"
3942,Value of a Planet,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- Launches an additional attack that has a high chance of
becoming a Super Attack
*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}
*For every attack performed*
- {passiveImg:forever}Ki +1 (up to +3)
- {passiveImg:forever}ATK & DEF 30%{passiveImg:up_g} (up to 90%)
*When there is another ""Terrifying Conquerors"" or ""Pure
Saiyans"" Category ally attacking in the same turn*
- Great chance of guarding all attacks"
3943,Mark of a Worthless Planet,"*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
- Launches an additional attack that has a great chance of
becoming a Super Attack
*When attacking with 12 or more Ki*
- ATK 80%{passiveImg:up_g}
*For every attack performed*
- {passiveImg:forever}Ki +1 (up to +4)
- {passiveImg:forever}ATK & DEF 30%{passiveImg:up_g} (up to 120%)
*When the target enemy is in the following status: {passiveImg:atk_down} or {passiveImg:def_down}*
- Attacks are effective against all Types
*As the 3rd attacker in a turn*
- Damage reduction rate 30%{passiveImg:up_g}
*When there is another ""Terrifying Conquerors"" or ""Pure
Saiyans"" Category ally attacking in the same turn*
- Guards all attacks"
3944,Strongest Countermeasure,"*Basic effect(s)*
- ATK & DEF 180%{passiveImg:up_g}
- ""Crossover"" Category allies' Ki +1 and ATK & DEF 30%{passiveImg:up_g}
- ""Giant Ape Power"" Category allies' Ki +1 and ATK & DEF
30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 60%{passiveImg:up_g}
*Per ""Crossover"" or ""Giant Ape Power"" Category ally on the
team (depending on which Category has more members)*
- Damage reduction rate 5%{passiveImg:up_g}
*When receiving a Super Attack*
- High chance of nullifying it and countering with tremendous
power"
3945,Demon on the Loose,"*When attacking with 12 or more Ki*
- ATK & DEF 150%{passiveImg:up_g}
*When there is another ""Giant Ape Power"" Category ally
attacking in the same turn*
- Ki +2
- Launches an additional attack that has a high chance of
becoming a Super Attack
*When all allies attacking in the same turn are ""Giant Ape
Power"" Category characters*
- Launches an additional Super Attack
*For every Super Attack performed*
- {passiveImg:forever}ATK & DEF 30%{passiveImg:up_g} (up to 150%)"
3946,Demon Lord to a Demon God,"*Basic effect(s)*
- Ki +3 and ATK & DEF 150%{passiveImg:up_g}
*When facing only 1 enemy*
- ATK & DEF 150%{passiveImg:up_g}
- Launches an additional attack that has a high chance of
becoming a Super Attack
- Attacked enemy's ATK & DEF 35%{passiveImg:down_y} for 2 turn(s)
*When the target enemy is in the following status: {passiveImg:atk_down} or {passiveImg:def_down}*
- ATK 150%{passiveImg:up_g}
*When facing 2 or more enemies*
- ATK 100%{passiveImg:up_g}
- DEF 200%{passiveImg:up_g}
- High chance of evading enemy's attack
*Per existing enemy (count starts from the 3rd enemy)*
- ATK 50%{passiveImg:up_g}
- Damage reduction rate 10%{passiveImg:up_g}"
3947,Destructive Sorcery,"*Basic effect(s)*
- ATK & DEF 180%{passiveImg:up_g}
- All allies' Ki +3 and ATK & DEF 40%{passiveImg:up_g}
- High chance of all allies' ATK 10%{passiveImg:up_g}
- High chance of all allies' DEF 10%{passiveImg:up_g}
*When HP is 50% or more*
- High chance of evading enemy's attack
*When HP is 50% or less*
- {passiveImg:once}Extreme Class allies' ATK & DEF 60%{passiveImg:up_g}
- {passiveImg:once}Recovers 50% HP
*For every attack evaded*
- {passiveImg:forever}ATK & DEF 40%{passiveImg:up_g} (up to 120%)"
3948,Veteran of Traveling Between Histories,"*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
*When facing only 1 enemy*
- Ki +3 and ATK & DEF 60%{passiveImg:up_g}
*When facing 2 or more enemies*
- DEF 100%{passiveImg:up_g}
*When the character is the only ""Defenders of Justice""
Category character on the team*
- ATK & DEF 60%{passiveImg:up_g}
- Performs a critical hit
*When there is another ""Defenders of Justice"" Category ally
on the team*
- All allies' ATK & DEF 4%{passiveImg:up_g} per ""Defenders of Justice""
Category ally on the team (up to 20%)"
3949,Veteran of Traveling Between Histories,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
*When facing only 1 enemy*
- Ki +3 and ATK & DEF 80%{passiveImg:up_g}
*When facing 2 or more enemies*
- DEF 120%{passiveImg:up_g}
*When the character is the only ""Defenders of Justice""
Category character on the team*
- ATK & DEF 80%{passiveImg:up_g}
- Performs a critical hit
*When there is another ""Defenders of Justice"" Category ally
on the team*
- All allies' Ki +1 (up to +2) and ATK & DEF 5%{passiveImg:up_g} (up to 25%)
per ""Defenders of Justice"" Category ally on the team"
3950,Veteran of Traveling Between Histories,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
*When facing only 1 enemy*
- Ki +3 and ATK & DEF 100%{passiveImg:up_g}
*When facing 2 or more enemies*
- DEF 150%{passiveImg:up_g}
*When the character is the only ""Defenders of Justice""
Category character on the team*
- ATK & DEF 100%{passiveImg:up_g}
- Performs a critical hit
*When there is another ""Defenders of Justice"" Category ally
on the team*
- High chance of foreseeing enemy's Super Attack
- All allies' Ki +1 (up to +3) and ATK & DEF 7%{passiveImg:up_g} (up to 35%)
per ""Defenders of Justice"" Category ally on the team
*When attacking an Extreme Class enemy*
- DEF 100%{passiveImg:up_g}
- High chance of performing a critical hit"
3951,Dark Magical Powers,"*Basic effect(s)*
- ATK & DEF 140%{passiveImg:up_g}
- Extreme Class allies' Ki +4 and DEF 40%{passiveImg:up_g}
- All enemies' ATK & DEF 30%{passiveImg:down_y}
*When attacking with 12 or more Ki*
- ATK & DEF 70%{passiveImg:up_g}
*Per ""Crossover"" Category ally on the team*
- ATK 20%{passiveImg:up_g}
*Per Extreme Class ally on the team*
- DEF 10%{passiveImg:up_g}"
3952,Cold Stare,"*Basic effect(s)*
- ATK 200%{passiveImg:up_g}
- DEF 100%{passiveImg:up_g}
- Attacked enemy's ATK & DEF 30%{passiveImg:down_y} for 2 turn(s)
*When attacking*
- Disables the enemy's guard
*When attacking with 12 or more Ki*
- ATK & DEF 50%{passiveImg:up_g}
*When all allies attacking in the same turn are ""Dragon Ball
Heroes"" Category characters*
- Ki +2
- Launches an additional Super Attack
*When the target enemy is in the following status: {passiveImg:atk_down} or {passiveImg:def_down}*
- ATK 100%{passiveImg:up_g}
- Great chance of performing a critical hit"
3953,Dark Mask's Ominous Aura,"*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
- Recovers 10% of damage dealt as HP
*After receiving an attack*
- DEF 150%{passiveImg:up_g} for 5 turn(s)
*For every attack received*
- {passiveImg:forever}ATK 50%{passiveImg:up_g} (up to 150%)
*When there is another ""Dragon Ball Heroes"" Category ally
attacking in the same turn*
- DEF 100%{passiveImg:up_g}
- Guards all attacks"
3954,Black Masked Destroyer,"*When attacking*
- Ki +3 and ATK & DEF 160%{passiveImg:up_g}
*When another 3 or more ""Crossover"" Category allies are on
the team*
- ATK & DEF 120%{passiveImg:up_g}
- Launches an additional attack that has a high chance of
becoming a Super Attack
- High chance of performing a critical hit
*When there is an enemy whose name includes ""Goku""
(Captain Ginyu, Jr., etc. excluded)*
- Performs a critical hit"
3955,Pure Loyalty,"*Basic effect(s)*
- ATK & DEF 130%{passiveImg:up_g}
- Medium chance of evading enemy's attack
*When attacking with 12 or more Ki*
- ATK & DEF 60%{passiveImg:up_g}
*When another 2 or more ""Dragon Ball Heroes"" Category
allies are on the team*
- Ki +2
*When the target enemy is in the following status: HP is 75%
or less*
- ATK 60%{passiveImg:up_g}
*When the target enemy is in the following status: HP is 50%
or less*
- Launches an additional attack that has a high chance of
becoming a Super Attack
*When the target enemy is in the following status: {passiveImg:atk_down}, {passiveImg:def_down}
or {passiveImg:astute}*
- {passiveImg:forever}Chance of performing a critical hit 8%{passiveImg:up_g} for every
attack performed (up to 40%)"
3956,Pure Loyalty,"*Basic effect(s)*
- ATK & DEF 160%{passiveImg:up_g}
- Medium chance of evading enemy's attack
*When attacking with 12 or more Ki*
- ATK & DEF 80%{passiveImg:up_g}
*When another 2 or more ""Dragon Ball Heroes"" Category
allies are on the team*
- Ki +2
- Chance of evading enemy's attack 20%{passiveImg:up_g}
*When the target enemy is in the following status: HP is 80%
or less*
- ATK 80%{passiveImg:up_g}
*When the target enemy is in the following status: HP is 50%
or less*
- Launches an additional attack that has a great chance of
becoming a Super Attack
*When the target enemy is in the following
status: {passiveImg:atk_down}, {passiveImg:def_down}, {passiveImg:stun} or {passiveImg:astute}*
- {passiveImg:forever}Chance of performing a critical hit 10%{passiveImg:up_g} for every
attack performed (up to 50%)"
3957,Another Possibility,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- ""Androids"" or ""Power Absorption"" Category allies' Ki +2 and
ATK & DEF 30%{passiveImg:up_g}
*Per ""Androids"" Category ally attacking in the same turn*
- ATK & DEF 10%{passiveImg:up_g}
*Per ""Power Absorption"" Category ally attacking in the same
turn*
- ATK & DEF 10%{passiveImg:up_g}
*When all allies attacking in the same turn are ""Androids"" or
""Power Absorption"" Category characters*
- ATK & DEF 100%{passiveImg:up_g} when attacking with 12 or more Ki"
3958,Another Possibility,"*Basic effect(s)*
- ATK & DEF 121%{passiveImg:up_g}
- ""Androids"" or ""Power Absorption"" Category allies' Ki +3 and
ATK & DEF 30%{passiveImg:up_g}
*Per ""Androids"" Category ally attacking in the same turn*
- ATK & DEF 21%{passiveImg:up_g}
*Per ""Power Absorption"" Category ally attacking in the same
turn*
- ATK & DEF 21%{passiveImg:up_g}
*When all allies attacking in the same turn are ""Androids"" or
""Power Absorption"" Category characters*
- ATK & DEF 121%{passiveImg:up_g} when attacking with 12 or more Ki
- Seals the attacked enemy's Super Attack for 2 turn(s) if HP is
60% or more when attacking"
3959,#21's Secret,"*Basic effect(s)*
- Ki +2 and ATK & DEF 120%{passiveImg:up_g}
- Launches an additional attack that has a high chance of
becoming a Super Attack
*When attacking*
- ATK & DEF 60%{passiveImg:up_g}
- High chance of evading enemy's attack
*After evading an attack when HP is 60% or more*
- ATK 60%{passiveImg:up_g} for 3 turn(s)
*After performing 6 or more attacks in battle*
- {passiveImg:forever}High chance of performing a critical hit"
3960,#21's Inner Conflicts,"*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
- All allies' Ki +2
- Launches an additional attack that has a high chance of
becoming a Super Attack
*When attacking*
- ATK & DEF 120%{passiveImg:up_g}
- High chance of evading enemy's attack
*After evading an attack*
- Ki +2 and ATK 60%{passiveImg:up_g} for 3 turn(s)
*After performing 3 or more attacks in battle*
- {passiveImg:forever}Launches an additional attack that has a great chance
of becoming a Super Attack
*When the character performs the 6th attack in battle*
- {passiveImg:once}Interrupts the attacked enemy
- {passiveImg:forever}Great chance of performing a critical hit starting from
the character's next attack"
3961,#21's Determination,"*Basic effect(s)*
- {passiveImg:once}Recovers 30% HP
- ATK & DEF 210%{passiveImg:up_g}
- Damage reduction rate 21%{passiveImg:up_g}
- Launches 2 additional attacks, each of which has a great
chance of becoming a Super Attack
- All allies' Ki +2
*When attacking*
- Ki +2
- ATK & DEF 121%{passiveImg:up_g}
*After receiving an attack*
- DEF 60%{passiveImg:up_g}
*When HP is 60% or less*
- Recovers 21% HP at the end of turn"
3962,Predation Without Hesitation,"*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
- Recovers HP with sweet treats
*When attacking*
- ATK 50%{passiveImg:up_g}
*When facing only 1 enemy*
- Damage reduction rate 12%{passiveImg:up_g}
*When facing 2 or more enemies*
- High chance of performing a critical hit
*For every final blow delivered*
- Recovers 21% HP"
3963,Preying on All the Clones,"*Activates the Entrance Animation upon the character's
entry*
- {passiveImg:once}ATK & DEF 120%{passiveImg:up_g} for 4 turn(s)
- {passiveImg:once}Great chance of launching an additional Super Attack
for 4 turn(s)
- High chance of launching an additional Super Attack starting
from the 5th turn from the character's entry turn
*Basic effect(s)*
- Ki +3 and ATK & DEF 210%{passiveImg:up_g}
- Recovers HP with sweet treats
*When attacking*
- ATK 90%{passiveImg:up_g}
*When facing only 1 enemy*
- Damage reduction rate 21%{passiveImg:up_g}
*When facing 2 or more enemies*
- High chance of performing a critical hit
*When HP is 60% or less, or when the target enemy is in the
following status: HP is 30% or less*
- Performs a critical hit
*For every final blow delivered*
- Recovers 30% HP"
3964,Battles Fought in Another World,"*Basic effect(s)*
- Ki +4 and ATK & DEF 100%{passiveImg:up_g}
- Launches 2 additional attacks, each of which has a medium
chance of becoming a Super Attack
- High chance of performing a critical hit
- Receives an additional Ki +2 per Rainbow Ki Sphere obtained
*As the 1st or 3rd attacker in a turn at the start of turn*
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
*For every Rainbow Ki Sphere obtained*
- ATK 20%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 40%{passiveImg:up_g}
*For every Super Attack performed*
- ATK & DEF 31%{passiveImg:up_g} and damage reduction rate 8%{passiveImg:up_g} within
the turn"
3965,Power of Animosity,"*Basic effect(s)*
- ATK & DEF 130%{passiveImg:up_g}
- ""Androids"" or ""Target: Goku"" Category allies' Ki +3 and ATK
& DEF 30%{passiveImg:up_g}
- Attacks guaranteed to hit
*When HP is 30% or more*
- ATK & DEF 130%{passiveImg:up_g}
*When there is an enemy whose name includes ""Goku""
(Youth, Captain Ginyu, Jr., etc. excluded)*
- Launches an additional attack that has a high chance of
becoming a Super Attack
*When another 2 or more ""Androids"" Category allies are on
the team starting from the 5th turn from the start of battle*
- Transforms"
3966,Target Elimination,"*Basic effect(s)*
- Ki +3 and ATK & DEF 130%{passiveImg:up_g}
- Launches an additional attack that has a high chance of
becoming a Super Attack
- Attacks guaranteed to hit
*When attacking*
- Disables the enemy's guard
*When HP is 30% or more*
- ATK & DEF 145%{passiveImg:up_g}
*Per ""Target: Goku"" or ""Androids"" Category ally on the team
(depending on which Category has more members)*
- ATK & DEF 13%{passiveImg:up_g}
*When there is a ""Super Saiyans"" Category enemy*
- ATK 50%{passiveImg:up_g}
- High chance of performing a critical hit
*When there is an enemy whose name includes ""Goku""
(Youth, Captain Ginyu, Jr., etc. excluded)*
- ATK 100%{passiveImg:up_g}
- Performs a critical hit"
3967,Prompt Action,"*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 150%{passiveImg:up_g}
- DEF 50%{passiveImg:down_r}
*When attacking with 12 or more Ki if there is another ""Movie
Heroes"" Category ally attacking in the same turn*
- ATK & DEF 50%{passiveImg:up_g}
*For every Super Attack performed*
- {passiveImg:forever}DEF 50%{passiveImg:up_g} (up to 150%)
*For every attack received*
- {passiveImg:forever}Chance of performing a critical hit 10%{passiveImg:up_g} (up to 50%)
*When there is an ""Androids"" or ""Target: Goku"" Category
enemy*
- Guards all attacks"
3968,Pressure of Savage Power,"*Basic effect(s)*
- Ki +3 and ATK & DEF 140%{passiveImg:up_g}
*The more HP remaining*
- ATK{passiveImg:up_g} (up to 70%)
*When attacking with 12 or more Ki*
- ATK & DEF 70%{passiveImg:up_g}
- Disables the enemy's guard
*Per ""Space-Traveling Warriors"" Category ally on the team*
- ATK & DEF 30%{passiveImg:up_g}
*When all allies are Extreme Class characters*
- All allies' Ki +2 and ATK 30%{passiveImg:up_g} (self excluded)
*When all allies are ""Space-Traveling Warriors"" Category
characters*
- Great chance of performing a critical hit
*When all allies are Extreme Class ""Space-Traveling Warriors""
Category characters*
- Guards all attacks"
3969,Reign of the Demon King,"*Basic effect(s)*
- Ki +1 and ATK & DEF 100%{passiveImg:up_g}
- All enemies' ATK & DEF 20%{passiveImg:down_y}
- High chance of stunning the attacked enemy
- {passiveImg:once}Chance of turning into Giant Form
*Per existing enemy*
- ATK & DEF 10%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}"
3970,Reign of the Demon King,"*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
- All enemies' ATK & DEF 20%{passiveImg:down_y}
- High chance of stunning the attacked enemy
- {passiveImg:once}Rare chance of turning into Giant Form
*Per existing enemy*
- ATK & DEF 20%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 150%{passiveImg:up_g}
*When there is a Super Class enemy*
- ATK & DEF 5%{passiveImg:down_y}
*When HP is 70% or more*
- Medium chance of stunning all enemies"
3971,Mountain-like Build,"*Basic effect(s)*
- Ki +3"
3972,Mountain-like Build,"*Basic effect(s)*
- Ki +3 and ATK 50%{passiveImg:up_g}"
3973,Flash of Spirit,"*Basic effect(s)*
- Ki +2 and ATK & DEF 120%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 120%{passiveImg:up_g}
*When another 2 or more ""Super Saiyans"" or ""Super Heroes""
Category allies are on the team*
- Changes Ki Spheres: AGL to STR
*3 or more STR Ki Spheres obtained*
- High chance of performing a critical hit"
3974,Flash of Spirit,"*Basic effect(s)*
- Ki +3 and ATK & DEF 150%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 150%{passiveImg:up_g}
*When another 2 or more ""Super Saiyans"" or ""Super Heroes""
Category allies are on the team*
- Changes Ki Spheres: AGL to STR
*3 or more STR Ki Spheres obtained*
- High chance of performing a critical hit
- High chance of sealing the attacked enemy's Super Attack
for 2 turn(s)
*4 or more STR Ki Spheres obtained*
- Launches an additional attack that has a great chance of
becoming a Super Attack"
3975,Stand Firm,"*Basic effect(s)*
- Ki +1 and ATK & DEF 100%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
*Per ""World Tournament"", ""Earth-Bred Fighters"" or ""Turtle
School"" Category ally on the team*
- ATK & DEF 7%{passiveImg:up_g}
*When attacking with 12 or more Ki if there is an Extreme
Class enemy*
- High chance of performing a critical hit"
3976,Stand Firm,"*Basic effect(s)*
- Ki +2 and ATK & DEF 120%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 120%{passiveImg:up_g}
*Per ""World Tournament"", ""Earth-Bred Fighters"" or ""Turtle
School"" Category ally on the team*
- ATK & DEF 10%{passiveImg:up_g}
*When there is an Extreme Class enemy*
- Guards all attacks
- Great chance of performing a critical hit when attacking
with 12 or more Ki"
3977,Power to Crush Evil,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- Super Class allies' Ki +2 and ATK & DEF 30%{passiveImg:up_g}
- Medium chance of evading enemy's attack
*When all allies attacking in the same turn are ""Super
Saiyans"" or ""Movie Heroes"" Category characters*
- Chance of evading enemy's attack 20%{passiveImg:up_g}
*After evading an attack*
- ATK & DEF 50%{passiveImg:up_g} for 3 turn(s)"
3978,Power to Crush Evil,"*Basic effect(s)*
- ATK & DEF 140%{passiveImg:up_g}
- Medium chance of evading enemy's attack
- Super Class allies' Ki +2 and ATK & DEF 30%{passiveImg:up_g}
*When all allies attacking in the same turn are ""Super
Saiyans"" or ""Movie Heroes"" Category characters*
- Chance of evading enemy's attack 40%{passiveImg:up_g}
*After evading an attack*
- ATK & DEF 80%{passiveImg:up_g} for 5 turn(s)
*When all allies are Super Class characters*
- Super Class allies' Ki +1 and ATK & DEF 10%{passiveImg:up_g}"
3979,Power Acquired in Hell,"*Activates the Entrance Animation when there is another
""Sworn Enemies"", ""Revenge"" or ""GT Bosses"" Category ally on
the team upon the character's entry*
- {passiveImg:once}Ki +5 and ATK & DEF 40%{passiveImg:up_g} for 6 turn(s)
- {passiveImg:once}Medium chance of evading enemy's attack for 6 turn(s)
*Basic effect(s)*
- Ki +3 and ATK & DEF 140%{passiveImg:up_g}
- ""Sworn Enemies"", ""Revenge"" or ""GT Bosses"" Category
allies' Ki +2 and DEF 30%{passiveImg:up_g}
*When attacking*
- ATK & DEF 70%{passiveImg:up_g}
*When there is an enemy whose name includes ""Goku""
(Youth, Captain Ginyu, Jr., etc. excluded)*
- High chance of performing a critical hit
*When the target enemy is in the following status: {passiveImg:stun} or {passiveImg:astute}*
- Chance of evading enemy's attack 20%{passiveImg:up_g}
- Attacks are effective against all Types
*When the target enemy is in the following status: {passiveImg:atk_down} or {passiveImg:def_down}*
- Chance of evading enemy's attack 20%{passiveImg:up_g}
- Launches an additional Super Attack"
